"","PageRank","Betweenness"
"USA",0.185,393
"CHN",0.141,458
"DEU",0.092,328
"CAN",0.041,0
"FRA",0.039,0
"MEX",0.038,0
"GBR",0.037,173
"HKG",0.033,20
"NLD",0.032,12
"JPN",0.031,157
"ITA",0.024,53
"BEL",0.023,53
"KOR",0.022,54
"CHE",0.02,25
"IND",0.017,15
"ESP",0.017,111
"TWN",0.016,6
"SGP",0.015,79
"VNM",0.013,0
"BRA",0.012,0
"POL",0.012,0
"ARE",0.012,142
"AUS",0.011,0
"MYS",0.01,0
"AUT",0.009,0
"RUS",0.009,28
"THA",0.009,67
"CZE",0.008,0
"IDN",0.008,0
"IRL",0.008,0
"PHL",0.007,0
"PRT",0.007,0
"HUN",0.006,0
"IRQ",0.006,0
"SAU",0.006,61
"SWE",0.006,0
"TUR",0.006,0
"CHL",0.005,0
"NOR",0.004,0
"ZAF",0.004,0
