"","Var","Mean","LCI","UCI","p.value"
"12","AUS",0.052371171850081,4.16760752741663e-07,0.120215877172855,0.166
"13","AUT",0.0185558616354348,1.33500431263173e-07,0.0554452118767139,0.532
"20","BEL",0.037778406639206,0.0123866189313566,0.0660278674436507,0.032
"29","BRA",0.0641240718962873,2.26359084185002e-07,0.131319356919202,0.316
"38","CAN",0.716144775109214,NA,NA,NA
"42","CHL",0.00348053251296322,1.53699012732204e-07,0.0100680648274009,0.658
"43","CHN",0.158032296168365,0.0996651514096674,0.240583736109339,0
"44","HKG",0.390061478441088,0.0923266617714411,0.69381113989194,0.498
"46","TWN",0.0766689751885307,0.025061316317861,0.13851400714727,0.038
"57","CZE",0.01041577815478,3.69670861320552e-08,0.0318848514632323,0.498
"74","FRA",0.0815067135115107,0.0514586031267943,0.11475709139778,0.01
"79","DEU",0.135325795735663,0.102357047464788,0.169482442692684,0
"92","HUN",0.00577642647415385,5.71956371233934e-08,0.0179949380720906,0.476
"94","IND",0.0567998754598123,1.03388275642102e-07,0.114310342294578,0.318
"95","IDN",0.0103507351671146,2.84144634210559e-09,0.0306234529958943,0.512
"97","IRQ",0.00190658388729764,6.43595806195166e-08,0.00575405889108871,0.75
"98","IRL",0.0115257665117653,1.89896949977361e-07,0.03489062723624,0.524
"100","ITA",0.0917649505136152,0.0669768799808219,0.120639195213706,0.008
"102","JPN",0.122848589846495,0.0559373450311318,0.208234596475561,0.006
"108","KOR",0.0751474923718474,0.025085246488523,0.145481862441439,0.01
"121","MYS",0.0223003212329603,1.09597702889859e-06,0.0470244141331316,0.11
"128","MEX",0.0366431324189064,7.69798276363358e-07,0.108195972139202,0.154
"140","NLD",0.122936122099493,0.0572548419941025,0.198155652724533,0
"149","NOR",0.00469261452475342,1.6265953673095e-08,0.0142776394099024,0.686
"157","PHL",3.29580579086332e-06,3.9336980895294e-08,1.01660067762427e-05,0
"158","POL",0.0177348574079394,1.68831664691151e-08,0.0572707244067873,0.474
"159","PRT",2.83491844040603e-08,6.70756668652877e-09,5.76259865696354e-08,0
"162","RUS",0.0144332640114962,0.00216435807134614,0.029229763863315,0.09
"171","SAU",0.0136595808598044,0.0034646858545172,0.0258658792546141,0.086
"176","SGP",0.0640991848274313,0.0314121769638574,0.096365181645933,0.08
"182","ZAF",0.00285584483381229,5.74070076581188e-08,0.00874219177859142,0.678
"184","ESP",0.0572711434109117,0.0286433668251975,0.0841263865144629,0.012
"189","SWE",3.63586953746941e-08,1.53102348796393e-08,6.19658275774384e-08,0.01
"190","CHE",0.0388545288381137,0.00703305591065358,0.0730456113918936,0.052
"194","THA",0.0368435834339462,0.010185298775345,0.063134843502745,0.162
"201","TUR",1.02190203723145e-06,1.09161698798615e-07,2.82596920245605e-06,0.12
"207","ARE",0.0229315563596374,0.0077773879748031,0.0399414481455277,0.026
"208","GBR",0.0759258316110753,0.0566182605624368,0.0994578400931733,0
"209","USA",0.147248748498609,0.0873656346742521,0.228376478569691,0
"214","VNM",0.00422381936797658,5.03453636752343e-05,0.0107572739226867,0.888
